epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
154;675515;62631;47921;9743;89202;76051;84749;63245;87328;62736;87692;489452;489452;489452
155;679925;64279;48214;98242;8488;76199;83099;61942;8645;66553;86413;484272;484272;484272
156;684314;65554;49236;98669;85808;77536;8344;62671;85207;64751;85173;479094;479094;479094
157;688705;63746;48783;97412;84044;76753;83011;62263;86156;6474;85913;473919;473919;473919
158;693091;63135;47374;97338;86994;74667;8313;62159;85878;65128;86819;468747;468747;468747
159;697477;64019;47576;97751;85038;76501;81924;6108;88312;66059;89755;463579;463579;463579
160;701863;63078;47249;98167;83698;77515;81658;61503;88524;65775;90192;458416;458416;458416
161;706251;61943;45573;97855;86431;77307;83221;61763;86353;61852;88331;453258;453258;453258
162;710632;62476;46377;97633;83906;77325;81544;60337;88859;65135;89347;448106;448106;448106
163;715015;61868;47481;97401;82414;7786;80324;60991;88313;64222;87939;44296;44296;44296
164;719396;62981;46408;97439;84169;76782;81455;61275;88886;64097;8879;437821;437821;437821
165;723785;61548;45532;96641;84164;78692;82624;62325;89306;62578;89862;432689;432689;432689
166;728171;63183;46402;97162;84714;77199;81327;60426;92167;66417;9088;427565;427565;427565
167;732555;61814;46719;97367;84646;76591;82611;60554;91251;67308;88847;422449;422449;422449
168;736933;60655;4512;96675;84051;77255;82495;61264;8792;66313;87376;417343;417343;417343
169;741318;61603;45151;96715;83272;75503;80802;6011;89515;67709;87801;412246;412246;412246
170;74571;605;45271;96329;82115;77067;80838;60517;8786;65782;87621;40716;40716;40716
171;7501;62123;45825;97273;83875;75178;812;61196;88088;65544;87562;402084;402084;402084
172;75449;62299;45536;96846;83416;75185;80959;60962;86433;66984;86586;397019;397019;397019
173;75888;60146;44308;96397;85563;74775;81242;61109;88965;65203;89953;391966;391966;391966
174;763275;62352;46533;97506;84858;75331;80729;61093;86686;63513;89186;386926;386926;386926
175;767656;62523;46075;97961;86188;74526;80149;61065;87152;67453;89478;381899;381899;381899
176;772066;59269;45373;96907;83155;74193;80436;61072;87641;70624;89396;376885;376885;376885
177;776452;61315;46387;96957;86414;7221;81002;61187;85518;66874;87908;371885;371885;371885
178;780839;60936;45401;96645;84478;75894;82092;61755;84679;62247;87076;366899;366899;366899
179;785219;61489;44956;96673;83762;74429;81559;62133;84723;62512;86718;361929;361929;361929
180;789608;56639;41941;94952;82718;74739;81869;61477;86203;60723;87591;356975;356975;356975
181;793997;59271;42847;96046;83689;76135;80945;60962;87082;61976;88789;352037;352037;352037
